company,code,update_date,pdf_report
三井住友・ＤＣターゲットイヤーファンド２０２５（４資産タイプ）,E08957,2022-07-07 09:02:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569067&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6G7
みずほ好配当日本株オープン,E12434,2022-07-07 09:01:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569067&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OLGD
三井住友・フォーカス・ジャパン・オープン,E08957,2022-07-07 09:01:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569067&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6DQ
脱炭素関連　世界株式戦略ファンド（資産成長型）　脱炭素関連　世界株式戦略ファンド（予想分配金提示型）,E12444,2022-07-07 09:00:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569067&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OBUF
株式会社ダイサン,E05070,2022-07-06 15:50:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569068&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OO5M
三菱ＵＦＪ／マッコーリー　オーストラリア・ハイインカム債券ファンド　豪ドル円プレミアム（毎月決算型）,E11518,2022-07-06 09:22:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569069&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O7JQ
三菱ＵＦＪ／マッコーリー　オーストラリア・ハイインカム債券ファンド（毎月決算型）,E11518,2022-07-06 09:17:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569069&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O7JU
アメリカン・ニュー・ステージ・オープン,E11518,2022-07-06 09:15:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569069&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O79P
ワールド・リート・セレクション（アジア）／ワールド・リート・セレクション（アジア）（年２回決算型）,E12441,2022-07-06 09:09:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569069&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100NX41
日本好配当利回り株オープン（３ヵ月決算型）,E11518,2022-07-06 09:08:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569069&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O46Z
